,0
101,"[350.   343.25 342.5  357.75 358.25 351.5  355.25 360.   361.25 362.75
 362.75 369.25 371.5  368.75 370.25 377.  ]"
102,"[374.   362.75 366.25 353.   358.5  354.25 355.5  359.   354.5  358.75
 369.   365.75 373.   372.75 377.75 384.   388.   386.75 388.5  390.25]"
103,"[370.5  362.25 368.25 363.5  354.5  360.25 376.5  396.5  403.   408.
 412.25]"
104,"[406.75 404.25 409.   400.75 407.   405.5  400.   404.75 404.   398.
 402.   402.   396.5  392.25]"
105,"[399.75 406.25 404.75 411.   408.25 407.5  417.   415.25 426.25 434.5
 430.25 425.5 ]"
106,"[411.   425.25 417.25 411.   417.25 412.5  415.75 412.   408.25 399.75
 397.   389.5 ]"
107,"[397.75 399.5  398.   405.25 409.75 409.5  403.25 391.   392.5  388.5
 394.5  374.5  354.75 346.25]"
108,"[359.25 366.   363.5  369.   360.75 358.75 369.   364.25 353.25 363.5
 371.25 360.5  352.25 360.5  371.25 364.75 364.25 358.   367.5  372.
 379.75]"
109,"[381.25 369.5  353.75 357.25 345.75 361.   358.   371.5  376.   373.
 371.25 381.  ]"
110,"[369.5  368.5  376.5  376.   364.75 382.25 390.25 386.75 383.75 380.25
 374.75 384.75 382.   396.   393.5  404.5  409.5  419.  ]"
111,"[416.   396.   394.25 385.   367.5  357.75 356.5  343.75 339.5  329.5
 330.5  320.  ]"
112,"[324.   334.5  332.5  338.   336.   344.   341.5  334.75 322.5  327.
 321.25 318.25 310.  ]"
113,"[311.5  311.5  317.5  321.   323.5  325.75 319.   324.   326.5  325.75
 335.25]"
114,"[341.   332.25 333.   331.   327.5  328.   321.5  328.5  331.75 338.5
 347.5 ]"
115,"[345.25 341.5  335.75 327.25 322.75 322.75 324.   336.75 328.75 323.25
 331.25 329.75 324.5  339.75 330.75 336.5  352.25 352.25 358.25 369.25]"
116,"[376.5  373.5  371.75 375.   386.75 373.   368.75 348.75 344.5  342.25
 342.25 339.75]"
117,[342.5  347.25 343.75 351.   362.   360.5  358.   367.25 370.25 364.5 ]
118,"[361.   356.5  366.25 372.   376.   370.25 375.5  368.75 377.   375.25
 385.75]"
119,"[384.25 389.5  386.75 379.   374.75 383.   374.75 379.5  377.5  381.25
 382.   389.   385.75 383.5  387.25 383.5  384.5  386.   394.   394.
 394.75]"
120,"[399.5  400.5  406.5  416.75 418.75 420.   438.75 432.   434.75 437.5
 443.5  444.   452.25 454.75 452.   455.5  462.5 ]"
121,[466.   466.75 466.25 478.75 477.25 475.   495.   512.   509.   502.5 ]
122,"[502.   498.25 489.   469.25 489.25 498.25 502.25 501.   498.5  501.25
 500.5  510.5  509.25 501.5  499.5  508.   503.5  497.75]"
123,"[497.   511.   514.75 520.   523.5  524.5  522.25 533.25 530.5  525.
 543.25 546.  ]"
124,"[555.5  543.   557.   557.   533.5  555.5  564.   556.75 559.75 545.5
 539.25 547.25 527.25 507.5 ]"
125,[524.75 544.75 552.25 555.5  560.5  567.25 584.   595.75 600.   598.  ]
126,[590.   591.25 605.   594.25 584.25 591.75 606.   603.5  603.5  599.5 ]
127,[580.25 594.25 587.75 576.25 577.25 600.   591.25 600.25 605.5  602.  ]
128,"[582.   594.75 601.5  618.75 618.5  603.5  597.5  589.75 599.   591.
 586.75]"
129,"[589.75 607.25 595.75 599.75 598.   592.5  582.25 599.25 615.75 608.
 614.5  643.25 650.75 657.25 673.25 703.25 709.  ]"
130,"[731.75 732.5  742.25 746.25 727.75 721.25 724.25 712.5  730.   753.75
 754.75 724.75 719.5  748.75 746.   716.5  692.75 683.   675.25 680.
 657.  ]"
131,"[648.25 658.5  631.25 609.5  589.25 573.5  571.5  573.   577.25 582.
 594.   601.5  587.5  565.   535.5  525.25 508.  ]"
