stage,seed,protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tmtr_reference,45,tmtr_reference,40,1134,0.093515433371067,8.306,0.0907023251056671,3.101473156418723
tmtr_reference,45,tmtr_reference,50,1134,0.1557490527629852,8.342,0.0907023251056671,71.71450961322046
tmtr_reference,45,tmtr_reference,60,1134,0.4865174293518066,8.395,0.0907023251056671,436.3891485527187
tmtr_reference,45,tmtr_reference,70,1134,0.2809436023235321,8.279,0.0907023251056671,209.74244816352416
tmtr_reference,45,tmtr_reference,80,1134,0.1363554000854492,8.311,0.0907023251056671,50.332860736036054
tmtr_reference,45,tmtr_reference,90,1134,0.5022897720336914,8.32,0.0907023251056671,453.77827574820157
tmtr_reference,45,tmtr_reference,100,1197,0.4959355294704437,8.559,0.0907023251056671,446.77267522379924
tmtr_continuous_offsets,45,tmtr_continuous_offset30,0,1197,0.1225146502256393,8.564,0.1225146502256393,0.0
tmtr_continuous_offsets,45,tmtr_continuous_offset30,10,1134,0.1617611348628997,8.285,0.1225146502256393,32.034115564937615
tmtr_continuous_offsets,45,tmtr_continuous_offset30,20,1134,0.0700644105672836,8.374,0.1225146502256393,-42.811402197007745
tmtr_continuous_offsets,45,tmtr_continuous_offset30,30,1134,0.0845434963703155,8.331,0.1225146502256393,-30.993153704794548
tmtr_continuous_offsets,45,tmtr_continuous_offset30,40,1134,0.0916993021965026,8.343,0.1225146502256393,-25.152378080811598
tmtr_continuous_offsets,45,tmtr_continuous_offset30,50,1134,0.0406291633844375,8.289,0.1225146502256393,-66.83730206174575
tmtr_continuous_offsets,45,tmtr_continuous_offset30,60,1134,0.4165556728839874,8.399,0.1225146502256393,240.00478482924535
tmtr_continuous_offsets,45,tmtr_continuous_offset30,70,1134,0.2186496704816818,8.275,0.1225146502256393,78.46818325725734
tmtr_continuous_offsets,45,tmtr_continuous_offset30,80,1134,0.1773872375488281,8.268,0.1225146502256393,44.78859240272745
tmtr_continuous_offsets,45,tmtr_continuous_offset30,90,1134,0.0602706596255302,8.423,0.1225146502256393,-50.80534489995464
tmtr_continuous_offsets,45,tmtr_continuous_offset30,100,1197,0.0761131569743156,8.6,0.1225146502256393,-37.874240481333885
tmtr_continuous_offsets,45,tmtr_continuous_offset50,0,1197,0.0622602589428424,8.707,0.0622602589428424,0.0
tmtr_continuous_offsets,45,tmtr_continuous_offset50,10,1134,0.3835950195789337,8.315,0.0622602589428424,516.1153616966009
tmtr_continuous_offsets,45,tmtr_continuous_offset50,20,1134,0.1700832247734069,8.352,0.0622602589428424,173.18104303027496
tmtr_continuous_offsets,45,tmtr_continuous_offset50,30,1134,0.3773685395717621,8.324,0.0622602589428424,506.1146323181898
tmtr_continuous_offsets,45,tmtr_continuous_offset50,40,1134,0.2152686864137649,8.339,0.0622602589428424,245.75616945536768
tmtr_continuous_offsets,45,tmtr_continuous_offset50,50,1134,0.1758100986480713,8.359,0.0622602589428424,182.3793245213974
tmtr_continuous_offsets,45,tmtr_continuous_offset50,60,1134,0.2403009235858917,8.279,0.0622602589428424,285.96197263891605
tmtr_continuous_offsets,45,tmtr_continuous_offset50,70,1134,0.3212944567203522,8.285,0.0622602589428424,416.0506271188405
tmtr_continuous_offsets,45,tmtr_continuous_offset50,80,1134,0.5695494413375854,8.273,0.0622602589428424,814.7881024080808
tmtr_continuous_offsets,45,tmtr_continuous_offset50,90,1134,0.5865811705589294,8.322,0.0622602589428424,842.1438017105522
tmtr_continuous_offsets,45,tmtr_continuous_offset50,100,1197,0.5926355123519897,8.528,0.0622602589428424,851.8680494021952
tmtr_reference,46,tmtr_reference,0,1197,0.1538557857275009,8.599,0.1538557857275009,0.0
tmtr_reference,46,tmtr_reference,10,1134,0.0984241142868995,8.384,0.1538557857275009,-36.02833080244267
tmtr_reference,46,tmtr_reference,20,1134,0.1594472676515579,8.294,0.1538557857275009,3.6342357212099046
tmtr_reference,46,tmtr_reference,30,1134,0.1475630402565002,8.343,0.1538557857275009,-4.090028490801114
tmtr_reference,46,tmtr_reference,40,1134,0.0821437388658523,8.293,0.1538557857275009,-46.60991234262726
tmtr_reference,46,tmtr_reference,50,1134,0.3009449541568756,8.267,0.1538557857275009,95.6019741044313
tmtr_reference,46,tmtr_reference,60,1134,0.2438364177942276,8.339,0.1538557857275009,58.48374933789907
tmtr_reference,46,tmtr_reference,70,1134,0.377415657043457,8.279,0.1538557857275009,145.304819223315
tmtr_reference,46,tmtr_reference,80,1134,0.3793486356735229,8.291,0.1538557857275009,146.56117667579943
tmtr_reference,46,tmtr_reference,90,1134,0.4819546341896057,8.287,0.1538557857275009,213.2509004524611
tmtr_reference,46,tmtr_reference,100,1197,0.4997527301311493,8.585,0.1538557857275009,224.81893857165565
tmtr_continuous_offsets,46,tmtr_continuous_offset30,0,1197,0.0771743282675743,8.533,0.0771743282675743,0.0
tmtr_continuous_offsets,46,tmtr_continuous_offset30,10,1134,0.1739031374454498,8.337,0.0771743282675743,125.33806428804026
tmtr_continuous_offsets,46,tmtr_continuous_offset30,20,1134,0.0921123847365379,8.301,0.0771743282675743,19.356250717429322
tmtr_continuous_offsets,46,tmtr_continuous_offset30,30,1134,0.1121209114789962,8.319,0.0771743282675743,45.28265291828282
tmtr_continuous_offsets,46,tmtr_continuous_offset30,40,1134,0.1354871094226837,8.315,0.0771743282675743,75.55981692892841
tmtr_continuous_offsets,46,tmtr_continuous_offset30,50,1134,0.2142966389656067,8.267,0.0771743282675743,177.678657885573
tmtr_continuous_offsets,46,tmtr_continuous_offset30,60,1134,0.2988929450511932,8.382,0.0771743282675743,287.29581683547553
tmtr_continuous_offsets,46,tmtr_continuous_offset30,70,1134,0.4487045407295227,8.361,0.0771743282675743,481.41684003234946
tmtr_continuous_offsets,46,tmtr_continuous_offset30,80,1134,0.1620808541774749,8.29,0.0771743282675743,110.0191317707589
tmtr_continuous_offsets,46,tmtr_continuous_offset30,90,1134,0.0756196901202201,8.272,0.0771743282675743,-2.0144498594973776
tmtr_continuous_offsets,46,tmtr_continuous_offset30,100,1197,0.0490641668438911,8.61,0.0771743282675743,-36.42423854500073
tmtr_continuous_offsets,46,tmtr_continuous_offset50,0,1197,0.0985948368906974,8.528,0.0985948368906974,0.0
tmtr_continuous_offsets,46,tmtr_continuous_offset50,10,1134,0.3007701337337494,8.264,0.0985948368906974,205.05667763027415
tmtr_continuous_offsets,46,tmtr_continuous_offset50,20,1134,0.2401903420686721,8.348,0.0985948368906974,143.61350922964456
tmtr_continuous_offsets,46,tmtr_continuous_offset50,30,1134,0.1526119261980056,8.293,0.0985948368906974,54.7869351081657
tmtr_continuous_offsets,46,tmtr_continuous_offset50,40,1134,0.4275369942188263,8.276,0.0985948368906974,333.63020590296776
tmtr_continuous_offsets,46,tmtr_continuous_offset50,50,1134,0.281602144241333,8.278,0.0985948368906974,185.61550799411353
tmtr_continuous_offsets,46,tmtr_continuous_offset50,60,1134,0.286765992641449,8.382,0.0985948368906974,190.85295101137885
tmtr_continuous_offsets,46,tmtr_continuous_offset50,70,1134,0.2333891838788986,8.283,0.0985948368906974,136.71542165806787
tmtr_continuous_offsets,46,tmtr_continuous_offset50,80,1134,0.5184960961341858,8.321,0.0985948368906974,425.8856472464096
tmtr_continuous_offsets,46,tmtr_continuous_offset50,90,1134,0.5699145793914795,8.319,0.0985948368906974,478.0369412480381
