stage,seed,protocol,ahead,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds
tatr_independent_fixed,45,independent_fixed,1,20,5040,4977,0.16382987797260284,20.039
tatr_independent_fixed,45,independent_fixed,1,40,10080,8757,0.14759306609630585,32.645
tatr_independent_fixed,45,independent_fixed,1,60,15120,12537,0.17745430767536163,48.667
tatr_independent_fixed,45,independent_fixed,1,80,20160,16317,0.14111168682575226,61.462
tatr_independent_fixed,45,independent_fixed,1,100,25200,20097,0.1988658457994461,93.405
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,0,0,1197,0.046765778213739395,8.639
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,20,5040,6237,0.07123011350631714,24.175
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,40,10080,11277,0.010991262272000313,41.62
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,60,15120,16317,0.011737357825040817,61.381
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,80,20160,21357,0.017178526148200035,102.593
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,100,25200,26397,0.010091741569340229,132.593
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,0,0,1197,0.0845075249671936,8.149
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,20,5040,4977,0.06219672039151192,18.484
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,40,10080,8757,0.01125489640980959,29.949
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,60,15120,12537,0.01797298714518547,42.721
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,80,20160,16317,0.014595737680792809,56.894
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,100,25200,20097,0.01598115637898445,89.043
tatr_continuous_chunked,46,continuous_chunked,1,0,0,1197,0.05658835545182228,8.554
tatr_continuous_chunked,46,continuous_chunked,1,10,2520,3087,0.09739116579294205,13.833
tatr_continuous_chunked,46,continuous_chunked,1,20,5040,4977,0.061024539172649384,20.395
tatr_continuous_chunked,46,continuous_chunked,1,30,7560,6867,0.012711645103991032,26.226
tatr_continuous_chunked,46,continuous_chunked,1,40,10080,8757,0.027175743132829666,32.761
tatr_continuous_chunked,46,continuous_chunked,1,50,12600,10647,0.01815638318657875,39.573
tatr_continuous_chunked,46,continuous_chunked,1,60,15120,12537,0.044548388570547104,46.005
tatr_continuous_chunked,46,continuous_chunked,1,70,17640,14427,0.023383649066090584,53.439
tatr_continuous_chunked,46,continuous_chunked,1,80,20160,16317,0.02943008951842785,61.411
tatr_continuous_chunked,46,continuous_chunked,1,90,22680,18207,0.026036133989691734,81.825
tatr_continuous_chunked,46,continuous_chunked,1,100,25200,20097,0.01803048513829708,92.11
tatr_independent_fixed,46,independent_fixed,1,0,0,1197,0.059136342257261276,8.664
tatr_independent_fixed,46,independent_fixed,1,20,5040,4977,0.1135178655385971,20.185
tatr_independent_fixed,46,independent_fixed,1,40,10080,8757,0.16272540390491486,32.544
tatr_independent_fixed,46,independent_fixed,1,60,15120,12537,0.14353667199611664,46.088
tatr_independent_fixed,46,independent_fixed,1,80,20160,16317,0.18085019290447235,61.248
tatr_independent_fixed,46,independent_fixed,1,100,25200,20097,0.2341657131910324,93.162
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,0,0,1197,0.07063170522451401,8.625
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,20,5040,6237,0.06857127696275711,24.222
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,40,10080,11277,0.010009046643972397,41.655
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,60,15120,16317,0.008221941068768501,62.117
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,80,20160,21357,0.014044464565813541,101.966
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,100,25200,26397,0.022794997319579124,130.154
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,0,0,1197,0.09113352000713348,8.121
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,20,5040,4977,0.06365838646888733,18.482
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,40,10080,8757,0.02151765115559101,29.89
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,60,15120,12537,0.010530253872275352,43.521
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,80,20160,16317,0.01078665629029274,56.893
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,100,25200,20097,0.0159933902323246,87.703
tatr_continuous_chunked,47,continuous_chunked,1,0,0,1197,0.05775688588619232,8.659
tatr_continuous_chunked,47,continuous_chunked,1,10,2520,3087,0.09938881546258926,13.859
tatr_continuous_chunked,47,continuous_chunked,1,20,5040,4977,0.06916610896587372,20.295
tatr_continuous_chunked,47,continuous_chunked,1,30,7560,6867,0.01463567279279232,26.098
tatr_continuous_chunked,47,continuous_chunked,1,40,10080,8757,0.014232156798243523,32.607
tatr_continuous_chunked,47,continuous_chunked,1,50,12600,10647,0.008243170566856861,39.444
tatr_continuous_chunked,47,continuous_chunked,1,60,15120,12537,0.014379032887518406,46.235
tatr_continuous_chunked,47,continuous_chunked,1,70,17640,14427,0.02301415055990219,57.075
tatr_continuous_chunked,47,continuous_chunked,1,80,20160,16317,0.010690856724977493,60.428
tatr_continuous_chunked,47,continuous_chunked,1,90,22680,18207,0.011591591872274876,81.366
tatr_continuous_chunked,47,continuous_chunked,1,100,25200,20097,0.02516469731926918,90.662
tatr_independent_fixed,47,independent_fixed,1,0,0,1197,0.06415046751499176,8.655
tatr_independent_fixed,47,independent_fixed,1,20,5040,4977,0.10623916238546371,19.938
tatr_independent_fixed,47,independent_fixed,1,40,10080,8757,0.1458960473537445,32.508
tatr_independent_fixed,47,independent_fixed,1,60,15120,12537,0.12737883627414703,46.087
tatr_independent_fixed,47,independent_fixed,1,80,20160,16317,0.18945510685443878,66.779
tatr_independent_fixed,47,independent_fixed,1,100,25200,20097,0.18687014281749725,93.464
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,0,0,1197,0.08383329957723618,8.588
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,20,5040,6237,0.0714619904756546,23.981
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,40,10080,11277,0.008703582920134068,41.907
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,60,15120,16317,0.009553722105920315,61.609
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,80,20160,21357,0.02569887973368168,101.913
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,100,25200,26397,0.02304653823375702,131.215
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,0,0,1197,0.07846996933221817,7.91
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,20,5040,4977,0.046559497714042664,18.595
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,40,10080,8757,0.012264873832464218,29.912
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,60,15120,12537,0.013497223146259785,42.867
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,80,20160,16317,0.015404622070491314,56.939
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,100,25200,20097,0.01335706003010273,87.806
