,0
107,"[194.38000488 195.13000488 194.3500061  192.55000305 191.58000183
 192.05999756 192.3999939  189.6000061  189.92999268 190.91999817
 192.11000061 191.47999573 190.61999512 187.92999268 187.67999268
 188.94999695 188.32000732 187.63000488 187.30000305 187.41000366
 187.25999451]"
108,"[186.1000061  186.38000488 188.08000183 189.16000366 187.36000061
 187.16999817 187.30999756 188.1000061  188.83000183 188.92999268
 188.63000488 187.91000366 187.36999512 187.27000427 188.24000549
 188.25       186.8999939  185.02999878 183.69000244 182.91000366
 182.88000488]"
109,"[181.36000061 181.71000671 183.38999939 182.05000305 184.30000305
 182.61999512 180.66000366 181.28999329 182.08000183 185.07000732
 184.05999756 184.36000061 183.22000122 181.86999512 181.86999512
 182.52000427 182.77999878 184.27999878 186.36999512 186.08000183
 187.97999573]"
110,"[187.66000366 187.03999329 186.96000671 188.03999329 189.08999634
 188.5        187.52000427 187.75999451 189.22999573 190.07000732
 189.82000732 191.52999878 191.25       192.36999512 192.75999451
 192.61999512 193.72000122 197.27999878 198.08000183 197.1000061
 199.05999756]"
111,"[198.11000061 198.71000671 198.66999817 198.99000549 201.41000366
 201.52000427 200.3500061  200.66999817 202.53999329 202.16999817
 200.46000671 200.86000061 204.22999573 203.88000488 202.99000549
 204.25       204.38999939 206.30999756 206.72999573 209.94000244]"
112,"[212.02000427 210.6499939  209.80999756 210.02000427 210.94000244
 208.57000732 207.13999939 207.6499939  209.61000061 210.67999268
 211.27999878]"
113,"[209.58999634 210.88000488 210.6499939  213.80000305 207.97000122
 206.11000061 205.96000671 206.72000122 206.63999939 208.25999451
 209.16999817 208.42999268 207.52999878 205.78999329]"
114,"[203.49000549 204.25       206.42999268 207.38999939 209.80999756
 210.28999329 209.33000183 211.77999878 213.96000671 212.78999329
 212.96000671 213.47000122 214.55999756 216.24000549]"
115,"[215.91999817 215.97000122 217.3999939  219.75999451 222.44999695
 219.75999451 222.22000122 224.61999512 224.33999634 223.78999329
 224.03999329 226.77000427 226.91999817]"
116,"[225.41999817 224.38000488 224.33999634 225.13000488 225.57000732
 226.58000183 231.69000244 232.53999329 233.19000244 236.55000305
 234.66999817 235.77999878 235.6000061  236.53999329 233.33999634
 235.33000183 234.72000122 237.30000305 238.97000122]"
117,"[238.8999939  235.13999939 235.71000671 232.47000122 228.69000244
 228.63000488 233.52000427 233.75       236.44000244 235.97000122
 237.27999878 237.72999573 242.22000122 243.02999878]"
118,"[242.38000488 244.74000549 242.41999817 241.75       242.02000427
 242.28999329 243.08000183 240.50999451 235.52000427 235.16000366
 234.78999329]"
119,"[237.72999573 237.24000549 236.08000183 237.13000488 237.8500061
 237.58000183 236.41000366 237.53999329 234.42999268 232.75999451
 233.19999695 236.11000061 235.44999695 240.11999512 241.3500061
 244.75       246.63000488 247.97999573]"
120,"[247.3500061  245.03999329 245.50999451 243.94000244 245.6499939
 245.66999817 239.96000671 239.58000183 241.13000488 241.49000549
 245.72999573 246.13000488]"
121,"[244.3500061  244.99000549 244.05999756 247.58000183 245.25999451
 247.02999878 248.92999268 248.74000549 249.6000061  250.83999634
 252.03999329 252.69999695]"
122,"[251.78999329 244.05000305 241.58999634 242.82000732 243.00999451
 242.22000122 238.11000061 233.66000366 235.00999451 236.07000732]"
123,"[236.36000061 236.24000549 238.17999268 238.66999817 237.94999695
 240.22000122 236.00999451 234.55000305 236.58999634 236.11999512
 234.91000366 235.99000549 237.02999878 236.83999634 237.03999329
 236.88000488 240.67999268 243.33999634 245.66999817 246.25
 247.1499939 ]"
124,"[247.38000488 246.50999451 249.77000427 249.66999817 250.19000244
 247.80999756 252.83999634 253.30000305 252.83999634 252.92999268
 248.52000427 250.08000183 253.83000183 250.47000122 248.13999939
 247.66999817 247.05999756 235.17999268 230.66999817]"
125,"[231.94000244 231.72000122 231.67999268 232.30999756 232.21000671
 234.92999268 235.66999817 236.27999878 231.83000183 232.22999573
 229.91000366 231.32000732 233.6000061  233.91999817 233.71000671
 234.77999878 234.41000366 236.67999268]"
126,"[235.8500061  235.47999573 235.91000366 235.36999512 238.80000305
 239.52999878 238.83999634 235.97000122 235.88000488 236.25999451
 239.27999878 238.25999451 238.77000427 239.25999451 240.94000244
 243.71000671 243.97999573]"
127,"[245.80000305 246.19999695 246.58000183 245.86999512 245.77000427
 246.13000488 247.08000183 246.63999939 243.02000427 244.5
 243.21000671 236.77999878 237.66000366 242.05000305 245.86000061
 247.44999695 248.16999817 248.77000427 249.22000122 249.05000305
 254.        ]"
128,"[253.8500061  253.03999329 251.16999817 251.16000366 249.27999878
 250.96000671 248.16999817 247.3500061  248.21000671 250.03999329
 247.55999756 246.77999878 249.72999573 248.75       246.33999634
 246.75       246.91999817 244.66999817 243.36999512 242.16999817]"
129,"[246.44999695 252.19000244 252.77999878 255.33000183 257.27999878
 258.73001099 260.29998779 259.95001221 262.64001465 265.48999023
 266.27999878 269.33999634 269.04000854 267.83999634 273.91000366]"
130,"[270.1000061  269.60998535 273.75       275.3999939  274.23999023
 274.07998657 276.45001221 275.98999023 279.64001465 281.16000366
 280.04000854]"
131,"[278.16000366 275.07000732 277.54000854 275.61999512 279.70001221
 285.48999023 285.42001343 285.57000732 285.48001099 282.38000488
 282.88000488 284.         282.95999146 284.20001221 283.
 284.11999512 288.61999512 290.51998901 290.66000366 288.29998779
 290.85998535]"
132,"[290.30999756 291.22000122 289.89001465 288.23001099 292.47000122
 292.77999878 294.07998657 298.17001343 301.16000366 301.64001465
 300.38000488 300.92999268]"
133,"[296.13000488 289.20001221 291.70001221 292.38000488 293.63000488
 300.41000366 301.95001221 296.69000244 297.26000977 292.85998535
 292.48999023 285.61999512 279.16000366]"
134,"[284.44000244 286.91000366 286.08999634 293.07000732 287.19000244
 286.82000732 281.51998901 281.82998657 282.51000977 284.57000732
 288.35998535 288.02999878 289.35998535 295.33999634 295.47000122]"
135,"[294.70999146 293.36999512 291.57000732 293.29998779 293.98001099
 294.23999023 287.42999268 286.6499939  279.61999512 278.20999146]"
136,"[280.17001343 282.16000366 289.10998535 288.73001099 290.76000977
 290.1000061  289.82998657 288.45999146 293.47000122 295.08999634
 293.45001221 296.72000122 297.27999878 297.47000122 298.73001099
 301.61999512 303.14001465]"
137,"[304.76000977 304.80999756 305.69000244 306.97000122 309.6499939
 308.42999268 306.85998535 308.95999146 307.16000366 307.8999939
 304.         302.94000244 305.63000488 304.92001343 307.3999939
 308.29000854 307.51998901 308.36999512 307.63000488 310.67999268]"
138,"[310.42001343 312.70001221 314.58999634 311.39001465 308.54998779
 308.47000122 307.80999756 309.26998901 310.6499939  312.32998657
 315.6499939  318.04998779 318.66000366 317.57000732 316.23001099
 318.45001221 322.08999634 323.         328.        ]"
139,"[333.32998657 332.39001465 334.6499939  333.98999023 334.10998535
 329.25       329.82998657 334.83999634 335.8999939  333.32998657
 336.76998901 334.57000732 331.38000488 327.04000854 329.79998779
 323.3999939  321.67999268 320.20999146 316.70001221 313.55999756]"
140,"[313.92001343 317.13000488 321.98001099 323.07998657 317.73999023
 314.85998535 314.92999268 314.85998535 310.54000854 319.5
 321.19000244 319.72000122 320.16000366 323.20001221 321.69000244
 321.82998657 327.32998657 328.07000732]"
141,"[328.07998657 319.22000122 318.54000854 314.16000366 311.07000732
 309.39001465 314.51998901 305.23001099 298.07998657 282.70001221
 224.83999634 236.83000183 258.38000488 248.25       248.22000122
 227.66999817]"
142,"[233.19000244 233.27999878 244.77000427 251.78999329 255.75
 250.82000732 248.96000671 254.47999573 250.41000366 243.16999817]"
143,"[239.         241.8999939  248.52000427 245.63999939 246.75999451
 243.03999329 245.55000305 240.05000305 242.         242.99000549
 246.38999939 244.1000061  240.33999634 230.30000305 232.
 233.44999695 225.21000671 223.91999817]"
144,"[228.75999451 234.91000366 238.88999939 233.57000732 235.32000732
 242.19000244 242.80999756 248.08000183 242.97999573 249.16000366
 249.53999329 249.94999695 253.16000366]"
