,0
56,"[11.651577   11.56141472 11.68320847 11.3935442  11.24933529 11.12928486
 11.33327007 11.1965332  13.43489265 13.39454365 13.82318687 13.6112318
 13.52530384 13.55070877 13.75145626 13.90961266 14.3036356  14.77163219]"
57,"[14.47798347 14.81696224 14.60426044 14.42094707 14.52082157 14.2764883
 14.56889153 14.52057266 14.35369873 14.47076035 14.44759655 14.3840847
 14.41098404 13.69840527 13.68520355 13.56465626 13.97013569 14.15295124]"
58,"[14.52057266 14.590312   14.32131958 14.12953854 14.25207996 14.60276508
 14.12206745 13.89466858 13.80251503 13.57910156]"
59,"[13.77212906 14.23439598 14.26677513 14.18333721 14.00699806 13.95270157
 13.6097374  13.57935143 13.50687313 13.72356129 13.17113113]"
60,"[13.15245056 13.11135483 13.31832981 13.12679768 13.37486839 13.54697323
 13.81148148 13.48819256 13.46378422 13.29516602 12.99180412 12.85406971]"
61,"[13.33999825 13.28619957 11.98806572 11.6762352  11.88320923 12.1848278
 11.84609795 12.25357056 11.88345814 12.03264904 12.0224371  11.7995224
 11.65282154 11.53177643 11.95145321 12.11309719 11.93327141 12.32903767
 12.47424316]"
62,"[12.51832771 12.45406914 12.59005928 12.70612431 12.41098118 12.21670914
 12.0797224  12.11782932 12.21895027 12.03015804 11.80973434 11.67075539
 11.80027008 11.5389986  11.58781624]"
63,"[11.56689358 11.21446514 11.06477737 10.45954514 10.42741489 10.31533623
 10.80325699 10.9006424  10.80599594 11.03190041]"
64,"[10.32355499 10.93600941 11.18681908 10.71334362 10.69167519 10.83712959
 10.94896126 10.73575974  9.48943138  9.97560883 10.25456333  9.72579479
  9.63663006  9.24559498  8.61794758  8.42118454  8.19378757  8.26900578]"
65,"[9.4899292  9.03388882 8.44758606 8.79254341 9.27872086 9.44758797
 9.03488541 8.85854626 8.77510929 8.45057487 8.20648956]"
66,"[9.18432522 8.91657829 8.95867062 8.95045185 8.62990284 9.13924408
 8.52404976 8.24957943 8.24758625 7.93974018 7.75742292 7.24783278
 7.77286482 7.72155809 7.47498178 7.40773392 6.97834301 6.46476793
 6.53625107]"
67,"[6.41196585 7.02491903 7.27498198 7.29664993 6.62491798 6.85206699
 6.95966291 6.83288908 7.0732379  7.52454615 7.62068605 7.69166994
 7.47747278 7.86452198 7.73774719 8.10163307]"
68,"[7.85157013 7.72803307 7.72529411 7.40001297 7.42267799 7.54546785
 7.48095989 7.40773392 7.54945278 7.66252899]"
