run,protocol,synthetic_proportion_pct,train_windows,mape,baseline_mape,pct_change_vs_real_only,fit_seconds
1,independent_sampled,90,1134,0.5539637207984924,0.07343729585409164,654.3356742044685,9.994
1,independent_sampled,100,1197,0.5531307458877563,0.07343729585409164,653.2014073431301,10.316
1,continuous_sampled,10,1134,0.0388316735625267,0.07343729585409164,-47.12268049782343,10.147
1,continuous_sampled,20,1134,0.14434200525283813,0.07343729585409164,96.55136204854684,10.093
1,continuous_sampled,30,1134,0.05320717766880989,0.07343729585409164,-27.547471553794434,10.126
1,continuous_sampled,40,1134,0.16132394969463348,0.07343729585409164,119.67577620935117,10.05
1,continuous_sampled,50,1134,0.17094732820987701,0.07343729585409164,132.77998763669413,10.08
1,continuous_sampled,60,1134,0.23452948033809662,0.07343729585409164,219.36018015160826,10.08
1,continuous_sampled,70,1134,0.33254334330558777,0.07343729585409164,352.8262369114177,9.994
1,continuous_sampled,80,1134,0.40927428007125854,0.07343729585409164,457.3112072160475,10.048
1,continuous_sampled,90,1134,0.4183395802974701,0.07343729585409164,469.65548013729295,10.075
1,continuous_sampled,100,1197,0.5102196335792542,0.07343729585409164,594.7690919787955,10.34
2,real_only,0,1197,0.09102790802717209,0.09102790802717209,0.0,10.471
2,independent_argmax,10,1134,0.1702164113521576,0.09102790802717209,86.99365396966775,10.062
2,independent_argmax,20,1134,0.12581966817378998,0.09102790802717209,38.22098178531407,10.118
2,independent_argmax,30,1134,0.19176673889160156,0.09102790802717209,110.66807207560856,10.11
2,independent_argmax,40,1134,0.12261258065700531,0.09102790802717209,34.697790286914106,10.082
2,independent_argmax,50,1134,0.1002068892121315,0.09102790802717209,10.083700025512462,10.107
2,independent_argmax,60,1134,0.05514852702617645,0.09102790802717209,-39.41580310764204,10.115
2,independent_argmax,70,1134,0.5198198556900024,0.09102790802717209,471.055478430675,10.056
2,independent_argmax,80,1134,0.2445271611213684,0.09102790802717209,168.62878255795613,10.064
2,independent_argmax,90,1134,0.5468064546585083,0.09102790802717209,500.70198965276126,10.012
2,independent_argmax,100,1197,0.5435051918029785,0.09102790802717209,497.07534049968575,10.37
2,continuous_argmax,10,1134,0.21224689483642578,0.09102790802717209,133.16683799112408,10.122
2,continuous_argmax,20,1134,0.07510212063789368,0.09102790802717209,-17.495499714795727,10.114
2,continuous_argmax,30,1134,0.1632397323846817,0.09102790802717209,79.32932429464839,10.061
2,continuous_argmax,40,1134,0.24597492814064026,0.09102790802717209,170.2192475600077,10.099
2,continuous_argmax,50,1134,0.19974057376384735,0.09102790802717209,119.42784151891553,10.096
2,continuous_argmax,60,1134,0.013611669652163982,0.09102790802717209,-85.0467071613896,10.134
2,continuous_argmax,70,1134,0.0730724036693573,0.09102790802717209,-19.725274091166657,10.112
2,continuous_argmax,80,1134,0.26039087772369385,0.09102790802717209,186.05609352899378,10.103
2,continuous_argmax,90,1134,0.23378220200538635,0.09102790802717209,156.8247552559394,10.094
2,continuous_argmax,100,1197,0.0198479276150465,0.09102790802717209,-78.19577748713962,10.455
2,independent_sampled,10,1134,0.1723581701517105,0.09102790802717209,89.34651348931484,10.031
2,independent_sampled,20,1134,0.1775820553302765,0.09102790802717209,95.08528667633199,10.083
2,independent_sampled,30,1134,0.14555364847183228,0.09102790802717209,59.90002585622872,10.108
2,independent_sampled,40,1134,0.0828147903084755,0.09102790802717209,-9.022637009569587,10.076
2,independent_sampled,50,1134,0.14763294160366058,0.09102790802717209,62.18426283024293,10.104
2,independent_sampled,60,1134,0.1914195716381073,0.09102790802717209,110.286686563167,10.076
2,independent_sampled,70,1134,0.27881279587745667,0.09102790802717209,206.2937531138585,10.048
2,independent_sampled,80,1134,0.552941620349884,0.09102790802717209,507.44186297770284,10.044
2,independent_sampled,90,1134,0.5523744225502014,0.09102790802717209,506.81875978663163,9.973
2,independent_sampled,100,1197,0.5544081926345825,0.09102790802717209,509.0529867709254,10.353
2,continuous_sampled,10,1134,0.1292659342288971,0.09102790802717209,42.00692626080218,10.151
2,continuous_sampled,20,1134,0.05087382718920708,0.09102790802717209,-44.11183526922194,10.147
2,continuous_sampled,30,1134,0.10786547511816025,0.09102790802717209,18.49714824376948,10.1
2,continuous_sampled,40,1134,0.12553374469280243,0.09102790802717209,37.90687648817575,10.094
2,continuous_sampled,50,1134,0.057710517197847366,0.09102790802717209,-36.60129245129899,9.769
2,continuous_sampled,60,1134,0.04245077073574066,0.09102790802717209,-53.36510345478994,10.111
2,continuous_sampled,70,1134,0.4825538396835327,0.09102790802717209,430.1163677621692,10.183
2,continuous_sampled,80,1134,0.05089757591485977,0.09102790802717209,-44.08574576967461,10.283
2,continuous_sampled,90,1134,0.12227395176887512,0.09102790802717209,34.325784716898035,10.261
2,continuous_sampled,100,1197,0.03851984441280365,0.09102790802717209,-57.68347834456948,10.528
3,real_only,0,1197,0.07640696316957474,0.07640696316957474,0.0,10.554
3,independent_argmax,10,1134,0.0887572169303894,0.07640696316957474,16.163780431117225,10.259
3,independent_argmax,20,1134,0.0835878849029541,0.07640696316957474,9.39825565039445,10.079
3,independent_argmax,30,1134,0.24257667362689972,0.07640696316957474,217.47979969905907,10.092
3,independent_argmax,40,1134,0.10792949050664902,0.07640696316957474,41.25609241544434,10.133
3,independent_argmax,50,1134,0.1615900993347168,0.07640696316957474,111.48609057539667,10.156
