,0
57,"[14.48533726 14.30351639 14.4025774  14.16023445 14.45025539 14.40232944
 14.23681545 14.35292339 14.32994843 14.26695442 14.29363346 13.5868578
 13.5737648  13.45419788 13.85637474 14.03770351 14.40232944 14.4715023 ]"
58,"[14.20469952 14.01447964 14.13602448 14.48385429 14.00706959 13.78152275
 13.6901207  13.46852684 13.65998077 14.1184845  14.15060043 14.06783962
 13.89293766 13.83908367 13.4989109  13.46877384 13.39688683 13.61180973
 13.06387806 13.04534912]"
59,"[13.00458813 13.20987701 13.01990414 13.26595592 13.43665791 13.69901276
 13.37835789 13.35414696 13.186903   12.88601112 12.74939823]"
60,"[13.23136997 13.17800808 11.89044571 11.58115578 11.78644371 12.08560467
 11.74963284 12.15378857 11.78669071 11.93466568 11.92453671 11.70343781
 11.5579319  11.43787289 11.8541317  12.01446056]"
61,"[11.83609867 12.22864056 12.37266445 12.41639042 12.3526535  12.48753738
 12.60265636 12.30991936 12.11722755 11.98135471 12.01915169 12.11945057
 11.93219471 11.71356678 11.57571983 11.70417976 11.44503403 11.49345589
 11.47270393 11.12314415 10.97467613]"
62,"[10.37437153 10.3425045  10.23133659 10.71528435 10.81187725 10.71800232
 10.94206715 10.2394886  10.8469553  11.09572506 10.62610245 10.6046114
 10.74888229 10.8598032  10.64833832  9.41215801  9.89437771 10.17106152
  9.64659595  9.55815792  9.17030716]"
63,"[8.5477705  8.35261154 8.12706566 8.20166969 9.41265106 8.96032429
 8.37879658 8.72094631 9.20316505 9.37065601 8.96131325 8.78640938
 8.70365334 8.3817606  8.1396637  9.10953617 8.8439703 ]"
64,"[8.8857193  8.87756824 8.55962849 9.06482315 8.45463657 8.18240261
 8.18042564 7.87508631 7.69425344 7.18881321 7.70956993 7.65868092
 7.41411161 7.34741211 6.92151785 6.41212463 6.48302507 6.35975266]"
65,"[6.96771431 7.21574116 7.23723269 6.57097101 6.79627085 6.90298939
 6.77724838 7.01564026 7.46327305 7.55862999 7.62903547 7.41658306
 7.80048084 7.67473793 8.03565884]"
66,"[7.7876339  7.66510248 7.66238594 7.33975458 7.36223459 7.484025
 7.42004204 7.34741211 7.4879775  7.60013199 7.93783426 8.10408878
 8.25256062]"
67,"[7.95487881 8.03343773 7.78343487 7.72463942 7.76490688 7.43511152
 7.38619661 7.40299654 6.98500729 7.48723602 7.57172298 8.02133274
 8.00082874 8.18882465 8.61348343]"
68,"[8.48131657 8.36298656 8.41338253 8.41041851 8.47341442 8.73823738
 9.17203808 9.35706711 8.8565712  8.84495926 8.9687252  8.83606529
 8.4650135  8.72316742]"
69,"[8.46451855 8.55864143 8.15374565 8.5339365  8.43981457 8.32963467
 8.34964657 8.08210468 8.04060173 7.87854433 7.55047798]"
70,"[7.62285948 7.18609619 7.61297846 7.85359287 7.99242878 8.01441574
 7.89756632 8.28418064 8.22884464 8.15077972 8.15621662 8.61175442
 8.57642746 8.4998455  8.72761631 8.58952045 8.46575451 8.59841442
 8.7473774  8.9551363  9.13498116]"
71,"[9.09693813 8.86002827 8.94278431 9.20217609 9.34076405 9.1134882
 9.37510204 9.6033659  9.68982983 9.37016106 9.423769   9.48281097
 9.50331402 9.62189293 9.53444195 9.47910595 9.67080688 9.78197479
 9.72564983 9.93044472 9.95539474]"
72,"[ 9.96725178  9.79778481 10.06260967 10.07866764  9.85707474  9.62312889
  9.57273293  9.63449192  9.80346775  9.85386181  9.81186581  9.79506683
  9.7209568   9.98923969 10.01888275 10.13845253 10.30717659 10.53766441
 10.58311939 10.66340733 10.87659931]"
73,"[10.97640514 10.83929825 10.76147938 10.68687534 10.5979414  10.49517441
 10.29581356 10.27679253 10.25604153 10.22886562]"
74,"[10.37783146 10.06310368 10.02184868 10.11103153 10.27111053 10.50703239
 10.47787952 10.41488552 10.35065556 10.09126663 10.11893368  9.79827785]"
75,"[ 9.94304371 10.13820362 10.23726463 10.48183346 10.49146843 10.82447529
 10.93391418 10.62881947 10.62684631 10.57076836 10.56557846 10.80397224
 11.03569412 10.98826218]"
76,"[10.86597729 10.77679729 11.00901413 10.94503021 11.17131805 11.20886707
 11.14488506 11.12561607 11.29211903 11.28001499]"
77,"[11.21405506 11.32868099 11.420084   11.36376095 10.99048519 11.00012016
 10.96775818 11.37388802 11.49320889 11.5794239  11.64464283]"
78,"[11.56139088 11.51346588 11.4811039  11.40501404 11.25901604 11.19108105
 11.302495   11.39587593 11.32966995 11.46183491 11.63402081 11.66366577
 11.7372818  11.79706573 12.06263065 12.14736557 12.14094257 12.27780151]"
79,"[12.32869244 12.31387043 12.27211952 12.16613865 12.31559849 12.31559849
 12.24939251 12.03570366 11.97098064 12.06831455 12.32078743 12.78521824
 12.70221424 12.75335026 12.94579315 12.99693012 13.22445202]"
80,"[13.09080601 13.58339882 13.63873577 13.62959576 13.61427975 13.68814373
 13.67826176 13.69110775 13.54486084 13.34747791 13.61304188 13.24421597
 13.19159698 13.27311802 13.34821796 13.55375385 13.61427975 13.89614868
 14.00113964 14.09501648]"
81,"[14.02806854 14.13182449 14.2363224  14.26621246 14.24546146 14.15504646
 14.08019352 14.38627434 14.40455341 14.47001934]"
82,"[14.32229233 14.40232944 14.57204723 14.51374531 14.47001934 14.45198536
 14.48261929 14.50238132 14.55104828 14.61231422 14.58785629 14.71681118
 14.65282822 14.7669611  14.6725893  14.73385525 14.78968811 14.8499651
 15.11083794]"
83,"[15.27882195 15.38727188 15.30155087 15.3838129  15.31587791 15.48312378
 15.41494179 15.02635002 14.67654324 14.8721981  14.84971714 14.58711529
 14.50336838 14.57155418 14.32822037]"
84,"[14.51646328 14.33834934 14.4018364  13.5873518  13.34006786 13.39984989
 13.39194584 13.19900799 13.09154606 13.16763306 13.12069702 13.36032486]"
85,"[13.01348209 13.1248951  13.17875004 13.25212002 13.20296097 13.25113392
 13.17010307 13.37218189 13.29584694 13.41961384 13.3588419 ]"
86,"[13.40923691 13.21827698 13.12934303 13.00483513 13.0139761  13.15948296
 13.36625195 13.47149181 13.70049477 13.93814659 13.89540863 13.83883572
 14.24052143 14.35638237]"
87,"[14.31685352 13.91270351 13.96260452 13.97149467 13.99224758 13.83414459
 13.77238274 13.56239986 13.76818371 13.9052906 ]"
88,"[13.90059566 13.89466858 13.99990559 14.01003551 14.05153751 14.10613155
 14.03720951 13.92159367 14.01917362 13.9878006  14.14862251 14.49546432
 14.55055523 14.7061882 ]"
89,"[13.59080982 13.58957672 13.7116127  13.69333267 13.51447678 13.46333885
 13.13354397 13.0698061  13.07301807 13.14243507 12.9868021  13.10784912
 12.50927544 12.59302139 12.31905746]"
90,"[12.18244553 12.88675117 12.57548428 12.48506832 12.62069035 12.53793335
 12.54880333 12.31164551 12.21431351 11.73456478 11.6614418 ]"
91,"[11.78767776 11.7854557  11.74592972 12.11623955 11.99692059 11.9163847
 12.18812847 12.49025345 12.32029152 11.99420357 11.97592163]"
92,"[11.7101078  12.03101063 12.06781864 11.93664169 12.30225945 12.38328648
 12.35388947 12.3526535  12.06930256 12.01223564 11.90848064]"
93,"[11.73678875 11.67700481 11.66218185 11.22195911 10.9919672  10.85708523
 10.78445625 10.77259827 11.12166119 11.27877903 11.54879284 11.75482178]"
94,"[12.08511353 12.1379776  12.20418549 11.35412693 11.5164299  11.89711666
 11.79607773 11.97666264 12.10635757 12.07943058 12.16984749 11.9652977
 11.98110771 11.97765064 12.11500549 12.10067368 12.50804234 12.55201435]"
95,"[12.3573494  12.48407841 12.44356346 12.14785957 12.15452862 12.0147047
 11.99593163 12.11772251 11.91094971 11.56064987 11.41366386 11.46430492
 11.15106106 11.23085308 11.14093113 11.33485603 11.18317604 11.11721802
 11.371912   11.44231701 11.61821079]"
96,"[11.47245598 11.62512589 11.7634697  11.76247883 11.91391563 11.86846066
 11.87364864 11.88402271 12.10858059 12.55646229 12.68442631 12.74717426
 12.68492126 13.02608109]"
97,"[13.103158   13.02311516 13.0359621  12.98902512 12.98482609 12.90404415
 13.2963419  13.20049    13.09327412 13.24989605 13.311409   13.37440586
 13.4215889  13.36304092 14.8581171 ]"
98,"[15.25979996 15.01572609 15.01943398 15.11849499 15.13183689 15.2299099
 15.28178787 15.22916889 15.28129387 15.16073799 15.19285297 15.20767593
 15.3208189  15.42185879 15.44186687 15.48361683]"
99,"[15.43544483 15.38751984 15.24695587 14.90357304 14.71038723 14.42011833
 14.41591644 14.73731422 14.59576321 14.60539627 14.4025774  14.69803524
 14.57525635 14.38034534 13.72816277]"
100,"[13.94160461 14.1261425  14.15529251 14.28770542 14.50460529 14.5885973
 14.61231422 14.6298542  14.68939018 14.69655514 14.5826683  14.61750031
 14.59502029 14.70025826 14.89813519 14.95791912 14.9267931  14.88109207]"
101,"[14.79561615 14.84700108 14.79413319 14.67333126 14.92975807 14.87466812
 15.04636097 15.155797   15.22842693 15.17333698 15.21780396 15.23904896
 15.23460388 15.41963482 15.80130959 15.60664272]"
102,"[15.48361683 15.11454201 15.09601498 15.31414986 15.2299099  15.23707294
 14.84675407 14.83119011 15.09502602 15.11874199 15.07304001 15.09354305
 15.17531395 15.27635098 15.2299099  15.22842693 15.42753983 15.51770878]"
103,"[15.41889381 15.42062378 15.44631386 15.56538773 15.07452202 15.10194397
 15.04018402 15.07032204 15.15332603 14.84107113 14.84181213 15.05846405
 14.83761215 14.6162672  14.63232327 14.61898422 14.33563137]"
104,"[14.24694443 14.08093357 14.07031155 13.76250267 13.86774254 13.86032867
 14.24175644 14.26201439 14.38158035 14.49843025 14.32179451 14.21359253
 14.37095737 14.37367535 14.49521732 14.61972427]"
105,"[14.51794529 14.05870152 14.18444252 14.32822037 14.28276443 14.26324844
 14.09625053 14.2363224  14.2914114  13.11032009 13.0149641  12.88378811
 12.98754215 12.97198009 12.97074318 13.16269493 13.28472996 13.28991699
 13.44135284]"
106,"[13.3044939  13.18912601 13.23606396 13.19851398 13.22395706 13.28275394
 13.40577793 13.22766399 13.21778297 13.08191109 12.80695724]"
107,"[13.10439301 13.08833599 13.12390804 12.9455471  12.80621719 12.80300522
 12.83783817 12.7997942  12.86822414 13.06881809 12.98433113 13.04510117
 12.92207813 12.87217617 12.82202625 12.82548618 12.7652092  12.5868454
 12.4687624  12.5586853  12.42479038]"
108,"[12.36105347 11.98185158 11.97098064 12.1789856  12.03101063 11.86327076
 11.73135376 11.92700768 12.19504452 12.29188347 12.50952339 12.87143517
 13.15330601 13.22543907 13.50310993]"
109,"[13.14218903 13.02583408 13.19209003 13.29708195 13.06684113 14.76350021
 14.69729519 14.88529015 14.70742226 14.99497604]"
110,"[15.2726469  15.29117393 15.37862778 15.00065613 15.09255695 14.9134531
 14.9895401  14.63454628 14.8512001  14.26695442 14.30450344 13.48878479
 14.16542149 13.56264877 13.88676357 13.92727757 13.76571369 13.31536198
 13.17084503 12.47246742 12.12760353]"
111,"[12.30670643 12.81683826 12.92726612 12.84697819 13.01546001 13.31733894
 13.35735893 13.36378288 13.15478706 12.9655571 ]"
112,"[12.89984417 13.19258404 13.21555996 12.9658041  13.095994   13.08117104
 13.14416409 13.40330696 13.50508881 13.5048418  13.50385284 13.32030296
 12.8622942  12.98210716 13.13971806 13.32376289 13.06437016 13.03127098
 12.72345829 12.24123859]"
113,"[12.39885235 12.46802139 12.71530819 12.72543621 13.27015495 13.41862679
 13.55004883 13.80919361 14.61676025 14.38775635]"
114,"[14.58785629 14.34551334 14.41888332 14.58736324 14.73385525 14.40628433
 14.48410034 14.78944016 14.82575417 14.64047527 14.29486847 14.44729137
 14.76053524 14.72694016 15.02807903 15.12714005]"
115,"[14.84576416 14.70075417 15.02857304 15.14344692 15.23139    15.10564709
 14.8437891  14.69581223 14.35144234 14.32822037 14.08389854 13.90825462]"
116,"[14.53054523 14.40060234 14.80722713 15.16246796 15.32526588 15.45594978
 15.4095068  15.40011978 15.21879196 15.4996748  15.44952583 15.45545578
 15.26869392 15.30500793 15.46360683 15.3615799  15.57255268 15.46014881
 15.55600071 15.64098072 15.8166256 ]"
117,"[15.80303764 15.86973953 15.9562006  16.43817139 16.50907326 16.28006744
 16.05798149 15.37714386 15.39394188 15.46360683 15.55451775 15.43964481
 15.52833176 15.63529873 15.79982758 14.47619534 14.46458435 14.35119534
 14.06858158]"
118,"[14.03424358 14.32772541 14.27115345 14.33093739 14.34872341 14.45445442
 14.73163319 15.04685497 14.9895401  15.06562901 15.10540199 14.9682951 ]"
119,"[15.12368298 15.06340504 14.95964813 14.98336601 14.93692303 15.16814804
 15.01844501 14.97323608 15.06686401 15.05228901 15.27659893 15.27314091
 15.37566185]"
120,"[15.34725189 15.1743269  14.94482613 14.99028206 14.99868202 14.82847214
 14.94952106 15.26152802 15.21731091 15.34428883 15.44088078 15.66173172
 15.64962769 15.80995369 15.95990467 15.87443256 16.04093742 15.98387241
 16.19978142]"
121,"[16.01820755 15.84108067 15.98139668 15.87517262 15.69063663 15.62072468
 15.58416367 15.4858408  15.71064568 16.08243942 15.4300108  14.97224903
 15.05871201 15.00634003 14.80500221]"
122,"[14.72496319 14.76300526 14.85367012 15.06241703 15.20446301 15.19235992
 14.94210911 14.93173409 15.00164604 15.09453201 14.7474432  15.008811
 15.13825798 15.04833508 15.15974998 14.95149708 14.92111397 15.09675694
 15.53697777]"
123,"[15.39171886 14.83217716 15.17086697 14.84206009 15.05599308 14.9127121
 14.61305428 14.68247223 14.53153133 14.34946346 14.10539055]"
124,"[14.29338741 14.0913105  14.34230042 14.2844944  14.33933449 14.0441246
 13.9601326  13.86107063 13.81067467 13.94555664]"
125,"[14.10218143 14.36601734 14.26670742 13.96284866 14.11774254 13.85143471
 13.94975758 14.06388855 13.94061661 14.32994843 14.33983135 14.52164936
 14.72150421]"
126,"[14.47594929 14.47668934 14.37021828 14.11057854 14.09303856 14.24224949
 14.20272446 14.24743843 14.3469944  14.65085125 15.08959103 15.20545292
 15.009305   15.01967907 15.15233803 15.6859417  15.62023067 15.63678074
 15.62961578 15.53253078 15.84330559]"
127,"[15.88011456 15.8237896  15.86553955 15.86850357 15.85985565 16.30477333
 16.51846123 16.49079323 16.62246323 16.72794914 16.68842316 16.53945732
 16.72893906 16.71955109 16.76475906 16.53229713 16.73066711 16.99647903
 16.84010315]"
128,"[16.92434311 16.82429314 16.81638908 17.27785301 17.4446106  17.31170273
 17.09974098 17.06738091 17.44189262 17.53181267 17.53922462 17.7442627
 17.97203636 17.98734856 18.13236237 18.51255035 18.50711632 18.61334419]"
129,"[18.68844223 18.63903809 18.81888008 18.70055008 18.83666801 18.97377396
 18.96389198 18.72154999 18.38187027 18.3934803  18.56443405 18.39817619
 18.30504036]"
130,"[18.39693642 18.66349411 17.16915894 16.84282112 16.76574898 16.80724907
 16.73190117 16.74326706 16.67879105 16.80601501 16.98610306 16.99425125
 16.87172508 16.84109116 16.48042107 16.11406136 16.37937546 16.45028114]"
131,"[16.28105927 16.12048149 15.98979759 15.98782158 16.50734711 16.55082321
 16.44953346 16.50141335 16.33293343 16.56910515 16.88926506]"
132,"[17.09233093 17.25241089 17.17533493 17.07108688 16.99178696 17.0735569
 16.90260124 16.93249893 17.21560097 17.23240089 17.35938072 17.34109497
 17.80602455 17.81318855 17.78947067 17.84505844]"
133,"[17.67879677 17.52736664 17.51180458 17.4480648  17.29292679 17.47499466
 17.86704063 17.87741661 18.23068047 18.15113831 18.11531448 18.23439026
 18.31739044]"
134,"[18.28058624 17.86704063 17.90854454 17.6679287  17.57232666 17.40409279
 17.3635807  18.31788635 18.63187218 18.61853027 18.54590607 18.61877823
 18.62248802 18.66843414 19.16028595]"
135,"[18.75069809 18.91670799 19.02614784 19.11952591 19.40164375 19.32876778
 19.28627777 19.33963966 19.46217155 19.5874176  19.9322834 ]"
136,"[19.57679176 19.65263367 19.75589752 19.53504562 19.5192337  19.75762558
 19.79270363 19.91597748 20.29419518 20.71662903 20.53826714]"
137,"[20.56840706 20.54172707 20.62325096 20.44513512 20.3883152  20.29518127
 20.11632538 19.95550156 20.04270744 20.12645721 20.04122734 20.01775551
 20.00120354 20.06988144 19.8287735  19.61953354]"
138,"[19.79245949 20.08519745 19.91622543 19.64126968 19.34433365 19.14175797
 19.21093178 19.52047157 19.52565956 19.5172596  19.31666183 19.5992775
 19.33222771 18.92090797]"
139,"[19.75984955 19.7657795  19.95821953 20.09532738 19.98786354 19.79813957
 20.23392105 20.37003517 20.26775932 20.49454117 20.892519   21.28358269
 21.17686081 21.58200455]"
140,"[21.52889061 21.74504852 21.67834854 21.91477013 22.62599182 22.32905006
 22.46022606 22.44416809 22.40563011 21.97207832 21.80829048]"
141,"[21.57434654 21.77074242 21.45057678 21.51110458 21.52247047 21.43377876
 21.22305679 21.23788071 21.35991669 21.73269463 21.99183846]"
142,"[21.73467636 21.54124451 21.66525459 21.61683464 21.89376259 22.24875832
 22.25024414 21.85646439 21.76234055 21.48714066]"
