seed,sample_id,family,persistence,pooled_delta,acf_r_lag1,acf_abs_r_lag1,oos_corr,directional_accuracy,strategy_edge,strategy_sharpe
70,markov_signs_p0.65,markov_signs,0.65,0.13972320261028762,0.17688263007983074,0.10684315730307746,0.1558914103959855,0.6092184368737475,0.06770911573803479,1.5667929203967397
70,markov_signs_p0.75,markov_signs,0.75,0.22648861724413058,0.29613642544932767,0.10684315730307746,0.3197794025213278,0.6933867735470942,0.2268174125953762,5.49116282469468
70,markov_signs_p0.85,markov_signs,0.85,0.28258799588604994,0.3660355318548941,0.10684315730307746,0.39761374235337393,0.7595190380761523,0.27940736858969717,7.017235334398537
70,markov_signs_p0.90,markov_signs,0.9,0.328039635844715,0.4012513108292465,0.10684315730307746,0.46743847817339584,0.7995991983967936,0.3192820111401773,8.231853416299879
71,real_eval,real,,0.11654078487600372,-0.015243815383227628,0.2411219682972126,-0.04811012779548117,0.501002004008016,0.02940528226834673,0.4172319312606924
71,iid_signs,iid_signs,,0.14823529720171214,-0.12053294033280619,0.2411219682972126,-0.004637035678366866,0.5270541082164328,0.03989884341115866,0.5662885839555326
71,markov_signs_p0.65,markov_signs,0.65,0.2363829982059405,0.16214506471115572,0.2411219682972126,0.1095085584110119,0.5811623246492986,0.12942118455193574,1.848094829047467
71,markov_signs_p0.75,markov_signs,0.75,0.5482120070169001,0.40622180254184875,0.2411219682972126,0.4402678519667817,0.7555110220440882,0.4651019734508092,7.252993916144635
71,markov_signs_p0.85,markov_signs,0.85,0.6076406241390325,0.433588387944655,0.2411219682972126,0.45561995725409243,0.8056112224448898,0.4990118011706081,7.9078759888540615
71,markov_signs_p0.90,markov_signs,0.9,0.8161489038652694,0.5734947882544155,0.2411219682972126,0.6027577267841855,0.8557114228456913,0.6335410948645136,10.900528820326516
72,real_eval,real,,0.33492463573145304,0.09325626493765263,0.34249888967807707,0.02997826622488614,0.5090180360721442,-0.01921962497778221,-0.4075390472880926
72,iid_signs,iid_signs,,0.28895715365921787,0.10223056281149176,0.34249888967807707,-0.03421007352164738,0.45691382765531063,-0.030089010087472473,-0.6390492462942732
72,markov_signs_p0.65,markov_signs,0.65,0.45997409493890345,0.21042203149220665,0.34249888967807707,0.13650257595639045,0.5871743486973948,0.08804872443163413,1.8809264481827688
72,markov_signs_p0.75,markov_signs,0.75,0.6942718551844799,0.3183889586946942,0.34249888967807707,0.3080969461599653,0.7074148296593187,0.25435011008998437,5.739682716106253
72,markov_signs_p0.85,markov_signs,0.85,0.7468528474093046,0.28553125188897827,0.34249888967807707,0.4384051094601668,0.627254509018036,0.19496962713664315,4.279099333182599
72,markov_signs_p0.90,markov_signs,0.9,0.9489459151793732,0.3388000909055041,0.34249888967807707,0.4865288628099123,0.7374749498997996,0.2962259053105221,6.842095097141607
