seed,sample_id,family,persistence,pooled_delta,acf_r_lag1,acf_abs_r_lag1,oos_corr,directional_accuracy,strategy_edge,strategy_sharpe
388,markov_signs_p0.75,markov_signs,0.75,0.4240908485349811,0.3126359619863033,0.20835896211992586,0.27140537807668424,0.751503006012024,0.43450106490267737,6.25770166762541
388,markov_signs_p0.85,markov_signs,0.85,0.5795893690261327,0.45539309869388606,0.20835896211992586,0.44133652004696083,0.8336673346693386,0.5835602811055697,8.995330767498395
388,markov_signs_p0.90,markov_signs,0.9,0.714218190783398,0.5059003095561426,0.20835896211992586,0.5386300284437651,0.87374749498998,0.661910624334728,10.71442160907191
389,real_eval,real,,0.06109030197569495,-0.015464245212378094,0.116282267503428,-0.05329296488991101,0.48096192384769537,-0.019915269085031953,-0.28083314193220144
389,iid_signs,iid_signs,,0.06409921918902076,0.031218760935957147,0.116282267503428,-0.024689859902736803,0.5531062124248497,0.07707251874106424,1.089967098787485
389,markov_signs_p0.65,markov_signs,0.65,0.16413747573208268,0.11424905785110659,0.116282267503428,0.048513276675451036,0.5230460921843687,0.04734293063401649,0.6674740963311251
389,markov_signs_p0.75,markov_signs,0.75,0.3876631746952672,0.26017348411817154,0.116282267503428,0.2841463677444338,0.7474949899799599,0.43426428352464996,6.630298731549335
389,markov_signs_p0.85,markov_signs,0.85,0.6181089789770716,0.3980916406713221,0.116282267503428,0.4283848848437526,0.8096192384769539,0.49337835315917267,7.743183619679674
389,markov_signs_p0.90,markov_signs,0.9,0.7456586996086751,0.4566233195462921,0.116282267503428,0.5128124431924563,0.8276553106212425,0.5471637728676848,8.836484134196109
390,real_eval,real,,0.04398031484263575,0.027551169771184065,0.1593489654718156,0.0034587073762982093,0.503006012024048,0.00905544853892241,0.26916608620773075
390,iid_signs,iid_signs,,0.041587484585863546,-0.04460695797360467,0.1593489654718156,-0.02190085900996637,0.49298597194388777,0.00959759649204256,0.2852436696073522
390,markov_signs_p0.65,markov_signs,0.65,0.09381530019451768,0.16483063893797162,0.1593489654718156,0.22574396612030206,0.5851703406813628,0.10294369250465756,3.1156161682228913
390,markov_signs_p0.75,markov_signs,0.75,0.20341016223575176,0.2618266378248233,0.1593489654718156,0.30045892803118424,0.6192384769539078,0.14030725306692152,4.3202200702192535
390,markov_signs_p0.85,markov_signs,0.85,0.22573825878450374,0.33342453380310555,0.1593489654718156,0.37617649368406,0.7234468937875751,0.16348523016634225,5.103714570750402
390,markov_signs_p0.90,markov_signs,0.9,0.4017207197111408,0.44596086385877154,0.1593489654718156,0.4060993155333807,0.7735470941883767,0.2150620219667244,6.972053105282393
391,real_eval,real,,0.06095148847920492,-0.030739343343842814,0.20653846628186295,-0.007612135051933796,0.4849699398797595,-0.00860379022681554,-0.16841288738750956
391,iid_signs,iid_signs,,0.06664686098860077,-0.032202414824899384,0.20653846628186295,-0.016677753948968577,0.5210420841683366,0.038196675388700474,0.750432260895122
391,markov_signs_p0.65,markov_signs,0.65,0.12756323286750432,0.21824283880877854,0.20653846628186295,0.1635389926006245,0.5571142284569138,0.05443977873322505,1.075615343575634
391,markov_signs_p0.75,markov_signs,0.75,0.22456636829892543,0.31803809576285236,0.20653846628186295,0.3112504574618424,0.7154308617234469,0.25563906671588715,5.295271071185259
391,markov_signs_p0.85,markov_signs,0.85,0.33132931378960884,0.4290122995134019,0.20653846628186295,0.3995758699419606,0.7775551102204409,0.3882124875052624,8.608338535389763
391,markov_signs_p0.90,markov_signs,0.9,0.47478858147907915,0.46932075586104216,0.20653846628186295,0.4287917667914356,0.875751503006012,0.4344573859365705,9.870480865818518
392,real_eval,real,,0.045144496589253215,0.03239628003772446,0.10953567079117076,0.03505918724143917,0.4849699398797595,-0.0027661337976109274,-0.04335157907311324
