stage,seed,protocol,ahead,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tatr_independent_fixed,46,independent_fixed,1,60,15120,12537,0.1435366719961166,46.088,0.0591363422572612,142.7215930462661
tatr_independent_fixed,46,independent_fixed,1,80,20160,16317,0.1808501929044723,61.248,0.0591363422572612,205.8190378392336
tatr_independent_fixed,46,independent_fixed,1,100,25200,20097,0.2341657131910324,93.162,0.0591363422572612,295.9759840612729
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,0,0,1197,0.070631705224514,8.625,0.070631705224514,0.0
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,20,5040,6237,0.0685712769627571,24.222,0.070631705224514,-2.917143590413825
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,40,10080,11277,0.0100090466439723,41.655,0.070631705224514,-85.82924394624628
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,60,15120,16317,0.0082219410687685,62.117,0.070631705224514,-88.35941870207753
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,80,20160,21357,0.0140444645658135,101.966,0.070631705224514,-80.11592029221019
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,100,25200,26397,0.0227949973195791,130.154,0.070631705224514,-67.72696164261983
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,0,0,1197,0.0911335200071334,8.121,0.0911335200071334,0.0
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,20,5040,4977,0.0636583864688873,18.482,0.0911335200071334,-30.14821937756328
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,40,10080,8757,0.021517651155591,29.89,0.0911335200071334,-76.38887299216938
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,60,15120,12537,0.0105302538722753,43.521,0.0911335200071334,-88.44524619322172
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,80,20160,16317,0.0107866562902927,56.893,0.0911335200071334,-88.16389810308173
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,100,25200,20097,0.0159933902323246,87.703,0.0911335200071334,-82.45059531216096
tatr_continuous_chunked,47,continuous_chunked,1,0,0,1197,0.0577568858861923,8.659,0.0577568858861923,0.0
tatr_continuous_chunked,47,continuous_chunked,1,10,2520,3087,0.0993888154625892,13.859,0.0577568858861923,72.08132664636905
tatr_continuous_chunked,47,continuous_chunked,1,20,5040,4977,0.0691661089658737,20.295,0.0577568858861923,19.753875065499262
tatr_continuous_chunked,47,continuous_chunked,1,30,7560,6867,0.0146356727927923,26.098,0.0577568858861923,-74.65986510832437
tatr_continuous_chunked,47,continuous_chunked,1,40,10080,8757,0.0142321567982435,32.607,0.0577568858861923,-75.35851079940942
tatr_continuous_chunked,47,continuous_chunked,1,50,12600,10647,0.0082431705668568,39.444,0.0577568858861923,-85.72781333276927
tatr_continuous_chunked,47,continuous_chunked,1,60,15120,12537,0.0143790328875184,46.235,0.0577568858861923,-75.1042102307044
tatr_continuous_chunked,47,continuous_chunked,1,70,17640,14427,0.0230141505599021,57.075,0.0577568858861923,-60.15340819231392
tatr_continuous_chunked,47,continuous_chunked,1,80,20160,16317,0.0106908567249774,60.428,0.0577568858861923,-81.48990105518618
tatr_continuous_chunked,47,continuous_chunked,1,90,22680,18207,0.0115915918722748,81.366,0.0577568858861923,-79.93037246655649
tatr_continuous_chunked,47,continuous_chunked,1,100,25200,20097,0.0251646973192691,90.662,0.0577568858861923,-56.429961669236874
tatr_independent_fixed,47,independent_fixed,1,0,0,1197,0.0641504675149917,8.655,0.0641504675149917,0.0
tatr_independent_fixed,47,independent_fixed,1,20,5040,4977,0.1062391623854637,19.938,0.0641504675149917,65.60933458612135
tatr_independent_fixed,47,independent_fixed,1,40,10080,8757,0.1458960473537445,32.508,0.0641504675149917,127.42787855700224
tatr_independent_fixed,47,independent_fixed,1,60,15120,12537,0.127378836274147,46.087,0.0641504675149917,98.56260010011476
tatr_independent_fixed,47,independent_fixed,1,80,20160,16317,0.1894551068544387,66.779,0.0641504675149917,195.3292691283408
tatr_independent_fixed,47,independent_fixed,1,100,25200,20097,0.1868701428174972,93.464,0.0641504675149917,191.2997364732009
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,0,0,1197,0.0838332995772361,8.588,0.0838332995772361,0.0
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,20,5040,6237,0.0714619904756546,23.981,0.0838332995772361,-14.75703469142801
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,40,10080,11277,0.008703582920134,41.907,0.0838332995772361,-89.61798836020365
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,60,15120,16317,0.0095537221059203,61.609,0.0838332995772361,-88.60390542409893
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,80,20160,21357,0.0256988797336816,101.913,0.0838332995772361,-69.34526034012885
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,100,25200,26397,0.023046538233757,131.215,0.0838332995772361,-72.50908845294333
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,0,0,1197,0.0784699693322181,7.91,0.0784699693322181,0.0
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,20,5040,4977,0.0465594977140426,18.595,0.0784699693322181,-40.6658392882457
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,40,10080,8757,0.0122648738324642,29.912,0.0784699693322181,-84.36997753810958
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,60,15120,12537,0.0134972231462597,42.867,0.0784699693322181,-82.79950500666497
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,80,20160,16317,0.0154046220704913,56.939,0.0784699693322181,-80.36876756600631
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,100,25200,20097,0.0133570600301027,87.806,0.0784699693322181,-82.97812507922241
