run_idx,synthetic_pct,mae,dataset,k,variant,source_file
2,30,0.0375703461468219,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,30,0.0430518500506877,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,30,0.0201187338680028,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,30,0.0298364404588937,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,30,0.0648451745510101,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,30,0.0340986773371696,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,30,0.0493943691253662,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,30,0.0274071674793958,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,30,0.0642822012305259,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,30,0.0332062952220439,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,30,0.025043012574315,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,30,0.0372603200376033,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,30,0.0716882646083831,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,30,0.1408079117536544,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,30,0.0243910960853099,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,30,0.0497214794158935,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,30,0.0671666488051414,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,30,0.0200575422495603,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,30,0.0698519051074981,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,30,0.023882869631052,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,30,0.0207811705768108,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,30,0.0209928657859563,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,30,0.1223571076989173,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,30,0.0240084305405616,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,30,0.0228163357824087,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,30,0.0575174838304519,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,30,0.0640865042805671,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,30,0.0364423505961895,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,40,0.0506598725914955,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,40,0.0614530257880687,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,40,0.0375691764056682,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,40,0.0654303878545761,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,40,0.0340518094599247,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,40,0.2181224673986435,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,40,0.0703170597553253,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,40,0.0580035299062728,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,40,0.0388951636850833,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,40,0.0342473573982715,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,40,0.0705302655696868,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,40,0.0229277051985263,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,40,0.0219958461821079,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,40,0.0271682161837816,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,40,0.1026305481791496,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,40,0.0249441005289554,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,40,0.0296477638185024,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,40,0.2196960151195526,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,40,0.0584409460425376,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,40,0.0239614639431238,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,40,0.1769253313541412,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
