seed,sample_id,family,persistence,n_obs,pooled_delta,acf_r_lag1,acf_abs_r_lag1,signed_stylized_distance,magnitude_path_distance
42,markov_signs_p0.85,markov_signs,0.85,1000,0.3807038009402121,0.43961752251458425,0.10199751696068658,0.797436026657729,0.0
42,markov_signs_p0.90,markov_signs,0.9,1000,0.3716379424478104,0.42679113263183394,0.10199751696068658,0.13559003779090475,0.0
43,real_eval,real,,1000,0.4681344709900388,0.0873724324108047,0.2675802323549869,0.0,0.0
43,iid_signs,iid_signs,,1000,0.14216120799294257,0.016734045069609425,0.2675802323549869,0.18830094588141824,0.0
43,markov_signs_p0.55,markov_signs,0.55,1000,0.5908993729963914,0.07214594720623982,0.2675802323549869,0.8982854010301843,0.0
43,markov_signs_p0.65,markov_signs,0.65,1000,0.9856612397215464,0.22224675272163658,0.2675802323549869,0.5947892057735129,0.0
43,markov_signs_p0.75,markov_signs,0.75,1000,1.4650495364125142,0.32197873788703535,0.2675802323549869,0.6733044146414184,0.0
43,markov_signs_p0.85,markov_signs,0.85,1000,1.3563362647781712,0.2712331146498089,0.2675802323549869,0.21967560160681732,0.0
43,markov_signs_p0.90,markov_signs,0.9,1000,2.586651815557579,0.4026162554144064,0.2675802323549869,0.6989594540764046,0.0
44,real_eval,real,,1000,0.06438636278078269,0.048463102729063234,0.10024572153541636,0.0,0.0
44,iid_signs,iid_signs,,1000,0.0702194476169108,0.007270620188466257,0.10024572153541636,0.5383680816365705,0.0
44,markov_signs_p0.55,markov_signs,0.55,1000,0.02754089330883892,0.0366627599569347,0.10024572153541636,0.21417209376387686,0.0
44,markov_signs_p0.65,markov_signs,0.65,1000,0.16259709395857916,0.2233678126529083,0.10024572153541636,0.6128585736907302,0.0
44,markov_signs_p0.75,markov_signs,0.75,1000,0.23915895481747004,0.30483617824815246,0.10024572153541636,0.7158264045528517,0.0
44,markov_signs_p0.85,markov_signs,0.85,1000,0.34471161745573975,0.43411992876784705,0.10024572153541636,0.6650229119297623,0.0
44,markov_signs_p0.90,markov_signs,0.9,1000,0.4008311506595653,0.4626390114996157,0.10024572153541636,0.15624923719883468,0.0
45,real_eval,real,,1000,0.08520030180395914,0.031334957614517295,0.08651572703881336,0.0,0.0
45,iid_signs,iid_signs,,1000,0.04502461097100834,0.006957852764253385,0.08651572703881336,0.8654454789035474,0.0
45,markov_signs_p0.55,markov_signs,0.55,1000,0.09147393050832836,0.05504156593882998,0.08651572703881336,0.5187046605681941,0.0
45,markov_signs_p0.65,markov_signs,0.65,1000,0.14626946227935161,0.13611449462789538,0.08651572703881336,0.3324853491169041,0.0
45,markov_signs_p0.75,markov_signs,0.75,1000,0.28974218766709503,0.28714738957589897,0.08651572703881336,0.6255268686480058,0.0
45,markov_signs_p0.85,markov_signs,0.85,1000,0.47581208108625667,0.4225359774550352,0.08651572703881336,0.35794764198587764,0.0
45,markov_signs_p0.90,markov_signs,0.9,1000,0.46090630683064,0.39063860750780344,0.08651572703881336,0.7131450688759329,0.0
46,real_eval,real,,1000,0.07862943373107319,-0.006857464957772632,0.2593135049981373,0.0,0.0
46,iid_signs,iid_signs,,1000,0.08865915884526755,-0.055673014351152184,0.2593135049981373,0.4884823357022788,0.0
46,markov_signs_p0.55,markov_signs,0.55,1000,0.08638558997217045,-0.011461984773149221,0.2593135049981373,0.18687848150049916,0.0
46,markov_signs_p0.65,markov_signs,0.65,1000,0.1587929209502136,0.14451617696672792,0.2593135049981373,0.6346231196555577,0.0
46,markov_signs_p0.75,markov_signs,0.75,1000,0.264083686148889,0.263023593741118,0.2593135049981373,0.3641222672692419,0.0
