asset,k,protocol,aug,mean,std,n
zcf,k14,authors,0,0.011475053243339021,0.00040443154098359843,30
zcf,k14,authors,10,0.01867530690506096,0.002692480318471101,30
zcf,k14,authors,100,0.04638859356443084,0.003949058362046985,30
zcf,k14,authors,20,0.031228270381689033,0.007004213472651546,30
zcf,k14,authors,30,0.0387652509535352,0.007641489966875277,30
zcf,k14,authors,40,0.04168586557110146,0.007200515989281706,30
zcf,k14,authors,50,0.042612772621214344,0.006866436224830346,30
zcf,k14,authors,60,0.04454009359081583,0.005217974017099052,30
zcf,k14,authors,70,0.04581630428632096,0.005065828082067828,30
zcf,k14,authors,80,0.04607019821802772,0.00400118027553453,30
zcf,k14,authors,90,0.04548571209112799,0.0046365096914836494,30
zcf,k14,single,0,0.011475053243339021,0.00040443154098359843,30
zcf,k14,single,10,0.019874380342662278,0.00206302512339933,30
zcf,k14,single,100,0.03452444610496357,0.004035027968141926,30
zcf,k14,single,20,0.02193743021537856,0.0018889506120085217,30
zcf,k14,single,30,0.024002333420018306,0.0016792743525261356,30
zcf,k14,single,40,0.02583511813233291,0.0024132318452972975,30
zcf,k14,single,50,0.02721265709648525,0.0028345738134994618,30
zcf,k14,single,60,0.029233046869436854,0.00325552953944651,30
zcf,k14,single,70,0.032050515152513934,0.0031928999387619604,30
zcf,k14,single,80,0.03235138617455955,0.002853250899749532,30
zcf,k14,single,90,0.03386097196489568,0.0028852006598133932,30
